datetime,open,high,low,close,volume,macd_fast_blue,macd_slow_red,macd_signal_hist,vwap,sma,supertrend
2025-06-17 17:41:00,105744.0,105766.0,105732.0,105732.5,8242,0.0,0.0,0.0,104560.33,0.0,0
2025-06-17 17:40:00,105688.0,105750.0,105688.0,105740.5,6286,0.0,0.0,0.0,104519.99,0.0,0
2025-06-17 17:39:00,105657.5,105686.5,105656.5,105686.5,2196,0.0,0.0,0.0,104481.71,0.0,0
2025-06-17 17:38:00,105711.5,105713.5,105656.5,105657.5,3465,0.0,0.0,0.0,104458.45,0.0,0
2025-06-17 17:37:00,105683.0,105733.0,105683.0,105711.5,13307,0.0,0.0,0.0,104454.84,0.0,0
2025-06-17 17:36:00,105572.0,105700.0,105572.0,105683.0,11282,0.0,0.0,0.0,104456.42,0.0,0
2025-06-17 17:35:00,105616.0,105616.0,105575.5,105575.5,5719,0.0,0.0,0.0,104456.88,0.0,0
2025-06-17 17:34:00,105595.5,105620.0,105594.5,105616.0,1895,0.0,0.0,0.0,104458.25,0.0,0
2025-06-17 17:33:00,105551.0,105592.0,105551.0,105592.0,1188,0.0,0.0,0.0,104459.73,0.0,0
2025-06-17 17:32:00,105571.5,105616.5,105551.0,105552.0,1975,0.0,0.0,0.0,104458.03,0.0,0
2025-06-17 17:31:00,105567.0,105592.0,105565.5,105571.5,5859,0.0,0.0,0.0,104454.96,0.0,104611.6
2025-06-17 17:30:00,105604.0,105604.0,105540.5,105568.0,5055,0.0,0.0,0.0,104442.28,0.0,104564.765
2025-06-17 17:29:00,105619.0,105625.0,105603.0,105603.0,2540,0.0,0.0,0.0,104435.48,0.0,104554.9135
2025-06-17 17:28:00,105622.5,105623.5,105612.0,105619.0,1802,0.0,0.0,0.0,104433.21,0.0,104534.52215
2025-06-17 17:27:00,105593.0,105641.5,105593.0,105621.5,5145,0.0,0.0,0.0,104429.87,0.0,104534.52215
2025-06-17 17:26:00,105593.5,105598.5,105579.0,105593.0,2820,0.0,0.0,0.0,104424.23,0.0,104532.4679415
2025-06-17 17:25:00,105525.5,105593.5,105524.5,105593.5,4270,0.0,0.0,0.0,104419.96,0.0,104513.27114735
2025-06-17 17:24:00,105484.5,105550.5,105471.5,105525.5,5194,0.0,0.0,0.0,104418.96,0.0,104513.27114735
2025-06-17 17:23:00,105504.5,105515.5,105484.0,105484.5,4110,0.0,0.0,0.0,104423.4,0.0,104513.27114735
2025-06-17 17:22:00,105506.0,105506.0,105484.0,105505.5,2179,0.0,0.0,0.0,104424.85,104431.875,104513.27114735
2025-06-17 17:21:00,105508.0,105511.5,105500.5,105506.0,1342,0.0,0.0,0.0,104426.93,104428.55,104513.27114735
2025-06-17 17:20:00,105531.5,105531.5,105500.5,105505.0,2240,0.0,0.0,0.0,104429.59,104427.55,104513.27114735
2025-06-17 17:19:00,105542.0,105550.0,105530.0,105531.5,2950,0.0,0.0,0.0,104432.96,104433.9,104345.970455181
2025-06-17 17:18:00,105517.0,105543.5,105516.0,105543.5,3430,0.0,0.0,0.0,104434.74,104440.0,104402.348409663
2025-06-17 17:17:00,105478.5,105517.0,105478.5,105517.0,3488,0.0,0.0,0.0,104450.6,104451.325,104452.738568697
2025-06-17 17:16:00,105483.5,105497.5,105477.0,105477.5,2127,73.94,0.0,0.0,104473.3,104464.25,104526.039711827
2025-06-17 17:15:00,105487.0,105501.5,105483.0,105483.5,3186,86.3,0.0,0.0,104496.26,104479.675,104590.510740644
2025-06-17 17:14:00,105510.5,105511.5,105487.0,105487.0,2428,94.68,0.0,0.0,104502.32,104492.6,104596.28466658
2025-06-17 17:13:00,105517.5,105535.0,105510.5,105510.5,2399,103.64,0.0,0.0,104508.32,104509.0,104620.831199922
2025-06-17 17:12:00,105529.5,105550.0,105510.5,105517.5,3594,113.59,0.0,0.0,104520.97,104531.225,104663.79807993
2025-06-17 17:11:00,105488.5,105530.5,105488.5,105529.5,2200,121.68,0.0,0.0,104536.06,104555.1,104709.243271937
2025-06-17 17:10:00,105540.0,105550.5,105476.5,105489.5,14654,127.35,0.0,0.0,104544.28,104581.875,104721.843944743
2025-06-17 17:09:00,105588.0,105629.5,105540.0,105540.0,3864,126.44,0.0,0.0,104558.54,104604.55,104721.843944743
2025-06-17 17:08:00,105580.0,105588.0,105560.5,105587.0,1957,119.41,107.45,11.96,104563.59,104625.275,104721.843944743
